index,year,month,day,rain,tmax,tmin,srad,Tmean,district
128,2017,5,9,0.8,24.0,12.1,20.7,18.05,Debre markos
129,2017,5,10,0.1,25.5,12.7,22.1,19.1,Debre markos
130,2017,5,11,0.2,24.8,13.0,20.7,18.9,Debre markos
131,2017,5,12,0.1,26.0,12.2,23.3,19.1,Debre markos
132,2017,5,13,0.1,27.5,12.1,24.9,19.8,Debre markos
133,2017,5,14,2.1,24.6,13.1,20.2,18.85,Debre markos
134,2017,5,15,1.3,24.1,13.1,19.1,18.6,Debre markos
135,2017,5,16,0.3,27.2,11.8,24.8,19.5,Debre markos
136,2017,5,17,0.0,29.5,13.7,25.1,21.6,Debre markos
137,2017,5,18,0.2,29.3,12.7,25.5,21.0,Debre markos
138,2017,5,19,0.9,26.0,11.9,23.4,18.95,Debre markos
139,2017,5,20,6.9,23.2,12.8,18.0,18.0,Debre markos
140,2017,5,21,0.2,25.1,11.5,23.0,18.3,Debre markos
141,2017,5,22,0.4,24.0,12.4,19.9,18.2,Debre markos
142,2017,5,23,8.8,25.3,11.5,23.0,18.4,Debre markos
143,2017,5,24,7.9,20.9,12.1,14.5,16.5,Debre markos
144,2017,5,25,0.3,21.8,11.4,17.9,16.6,Debre markos
145,2017,5,26,1.3,21.5,11.9,16.3,16.7,Debre markos
146,2017,5,27,1.0,23.2,11.5,20.2,17.35,Debre markos
147,2017,5,28,2.8,22.1,12.6,15.9,17.35,Debre markos
148,2017,5,29,11.8,21.7,13.1,14.2,17.4,Debre markos
149,2017,5,30,3.3,22.4,12.1,17.6,17.25,Debre markos
150,2017,5,31,17.0,22.1,11.8,17.6,16.950000000000003,Debre markos
151,2017,6,1,26.5,20.7,11.1,16.2,15.899999999999999,Debre markos
152,2017,6,2,14.5,19.0,11.2,12.2,15.1,Debre markos
153,2017,6,3,0.2,22.8,9.0,22.8,15.9,Debre markos
154,2017,6,4,1.2,23.2,10.6,21.2,16.9,Debre markos
155,2017,6,5,0.0,25.0,9.3,24.4,17.15,Debre markos
156,2017,6,6,8.7,21.8,11.7,17.1,16.75,Debre markos
157,2017,6,7,7.9,21.1,12.3,14.5,16.700000000000003,Debre markos
158,2017,6,8,18.0,19.5,12.2,11.1,15.85,Debre markos
159,2017,6,9,2.3,21.8,10.3,19.6,16.05,Debre markos
160,2017,6,10,15.7,20.1,12.0,13.1,16.05,Debre markos
161,2017,6,11,17.2,18.4,12.0,9.2,15.2,Debre markos
162,2017,6,12,0.9,20.5,10.0,17.9,15.25,Debre markos
163,2017,6,13,0.8,20.9,9.6,19.2,15.25,Debre markos
164,2017,6,14,0.0,20.4,10.7,16.4,15.549999999999999,Debre markos
165,2017,6,15,0.3,21.9,9.9,20.3,15.899999999999999,Debre markos
166,2017,6,16,2.2,20.6,12.0,14.0,16.3,Debre markos
167,2017,6,17,1.0,21.7,11.5,17.4,16.6,Debre markos
168,2017,6,18,0.0,21.7,11.6,17.2,16.65,Debre markos
169,2017,6,19,1.3,22.0,11.3,18.3,16.65,Debre markos
170,2017,6,20,3.1,21.0,11.5,15.8,16.25,Debre markos
171,2017,6,21,0.0,21.2,10.6,18.0,15.899999999999999,Debre markos
172,2017,6,22,1.5,21.3,11.0,17.5,16.15,Debre markos
173,2017,6,23,2.0,21.5,11.5,17.0,16.5,Debre markos
174,2017,6,24,11.4,21.0,11.7,15.7,16.35,Debre markos
175,2017,6,25,1.9,20.3,11.3,15.0,15.8,Debre markos
176,2017,6,26,1.2,20.7,11.0,16.4,15.85,Debre markos
177,2017,6,27,9.4,19.8,11.9,12.5,15.850000000000001,Debre markos
178,2017,6,28,0.2,20.2,11.4,14.6,15.8,Debre markos
179,2017,6,29,0.0,20.9,11.3,16.1,16.1,Debre markos
180,2017,6,30,1.8,20.4,12.0,13.4,16.2,Debre markos
181,2017,7,1,20.9,20.8,11.9,14.8,16.35,Debre markos
182,2017,7,2,0.8,20.8,11.9,14.6,16.35,Debre markos
183,2017,7,3,7.4,21.8,11.4,17.6,16.6,Debre markos
184,2017,7,4,10.9,21.0,13.1,12.6,17.05,Debre markos
185,2017,7,5,18.3,20.1,12.5,11.9,16.3,Debre markos
186,2017,7,6,31.8,19.9,11.8,12.9,15.85,Debre markos
187,2017,7,7,57.9,17.8,12.1,7.4,14.95,Debre markos
188,2017,7,8,0.0,20.2,10.6,16.2,15.399999999999999,Debre markos
189,2017,7,9,0.0,22.0,10.6,19.6,16.3,Debre markos
190,2017,7,10,9.9,19.6,11.5,13.0,15.55,Debre markos
191,2017,7,11,80.5,18.5,12.1,9.1,15.3,Debre markos
192,2017,7,12,27.1,17.8,11.7,8.5,14.75,Debre markos
193,2017,7,13,0.0,20.4,10.4,16.8,15.399999999999999,Debre markos
194,2017,7,14,49.5,18.2,12.4,7.8,15.3,Debre markos
195,2017,7,15,11.5,19.8,11.4,13.7,15.600000000000001,Debre markos
196,2017,7,16,30.1,19.6,12.5,10.7,16.05,Debre markos
197,2017,7,17,3.1,19.1,12.1,10.4,15.600000000000001,Debre markos
198,2017,7,18,3.7,19.7,11.7,12.8,15.7,Debre markos
199,2017,7,19,0.2,21.4,11.5,16.9,16.45,Debre markos
200,2017,7,20,12.0,18.8,12.9,8.0,15.850000000000001,Debre markos
201,2017,7,21,59.5,18.1,12.8,6.7,15.450000000000001,Debre markos
202,2017,7,22,0.5,21.7,10.6,19.1,16.15,Debre markos
203,2017,7,23,19.4,19.4,11.6,12.3,15.5,Debre markos
204,2017,7,24,12.3,16.7,10.7,8.3,13.7,Debre markos
205,2017,7,25,0.0,19.8,9.6,17.5,14.7,Debre markos
206,2017,7,26,0.1,21.1,10.9,17.5,16.0,Debre markos
207,2017,7,27,0.5,19.5,11.9,12.0,15.7,Debre markos
208,2017,7,28,0.7,19.1,11.4,12.2,15.25,Debre markos
209,2017,7,29,2.7,20.3,10.8,16.2,15.55,Debre markos
210,2017,7,30,3.1,18.8,11.5,11.0,15.15,Debre markos
211,2017,7,31,11.9,18.6,11.4,10.8,15.0,Debre markos
212,2017,8,1,52.0,17.2,11.9,6.6,14.55,Debre markos
213,2017,8,2,5.0,18.4,11.5,10.4,14.95,Debre markos
214,2017,8,3,13.3,17.8,11.7,8.5,14.75,Debre markos
215,2017,8,4,0.5,17.1,11.7,7.1,14.4,Debre markos
216,2017,8,5,27.3,16.4,12.2,4.5,14.299999999999999,Debre markos
217,2017,8,6,5.1,20.1,10.7,16.0,15.4,Debre markos
218,2017,8,7,7.4,21.1,10.9,17.6,16.0,Debre markos
219,2017,8,8,36.0,18.4,11.2,11.1,14.799999999999999,Debre markos
220,2017,8,9,0.2,16.4,11.7,5.4,14.049999999999999,Debre markos
221,2017,8,10,0.0,20.2,9.7,18.3,14.95,Debre markos
222,2017,8,11,12.2,18.4,12.3,8.6,15.35,Debre markos
223,2017,8,12,18.9,17.6,12.4,6.5,15.0,Debre markos
224,2017,8,13,9.7,16.4,10.5,8.1,13.45,Debre markos
225,2017,8,14,3.9,17.4,9.8,12.1,13.6,Debre markos
226,2017,8,15,1.4,17.5,10.7,10.3,14.1,Debre markos
227,2017,8,16,1.4,15.7,10.3,6.9,13.0,Debre markos
228,2017,8,17,5.9,16.2,10.7,7.0,13.45,Debre markos
229,2017,8,18,0.0,18.1,9.0,15.6,13.55,Debre markos
230,2017,8,19,0.0,18.5,10.2,13.7,14.35,Debre markos
231,2017,8,20,0.0,21.9,9.2,22.3,15.549999999999999,Debre markos
232,2017,8,21,4.6,21.6,11.6,17.4,16.6,Debre markos
233,2017,8,22,0.0,22.6,11.5,19.8,17.05,Debre markos
234,2017,8,23,1.7,21.7,11.3,18.3,16.5,Debre markos
235,2017,8,24,0.8,21.2,11.3,17.1,16.25,Debre markos
236,2017,8,25,0.0,20.3,10.9,16.2,15.600000000000001,Debre markos
237,2017,8,26,3.7,20.2,11.5,14.8,15.85,Debre markos
238,2017,8,27,1.7,18.2,10.8,11.6,14.5,Debre markos
239,2017,8,28,0.3,21.4,9.9,20.5,15.649999999999999,Debre markos
240,2017,8,29,0.9,21.3,11.6,16.9,16.45,Debre markos
241,2017,8,30,4.4,20.5,11.9,14.5,16.2,Debre markos
242,2017,8,31,1.4,20.5,11.5,15.4,16.0,Debre markos
243,2017,9,1,6.8,19.0,10.6,14.0,14.8,Debre markos
244,2017,9,2,0.0,18.6,9.7,15.2,14.15,Debre markos
245,2017,9,3,1.4,18.8,10.1,14.6,14.45,Debre markos
246,2017,9,4,4.6,19.9,11.0,15.2,15.45,Debre markos
247,2017,9,5,18.0,18.9,11.5,11.7,15.2,Debre markos
248,2017,9,6,7.4,20.2,10.7,16.6,15.45,Debre markos
249,2017,9,7,4.4,20.0,10.9,15.7,15.45,Debre markos
250,2017,9,8,12.1,19.4,10.9,14.3,15.149999999999999,Debre markos
251,2017,9,9,0.0,21.0,9.7,20.2,15.35,Debre markos
252,2017,9,10,0.0,22.1,9.0,23.2,15.55,Debre markos
253,2017,9,11,0.5,21.6,9.8,21.1,15.700000000000001,Debre markos
254,2017,9,12,43.3,20.7,11.7,15.5,16.2,Debre markos
255,2017,9,13,12.1,20.4,11.7,14.7,16.049999999999997,Debre markos
256,2017,9,14,0.0,20.7,10.8,17.5,15.75,Debre markos
257,2017,9,15,1.3,21.2,10.8,18.4,16.0,Debre markos
258,2017,9,16,2.2,21.1,10.7,18.7,15.9,Debre markos
259,2017,9,17,0.6,22.9,11.4,20.7,17.15,Debre markos
260,2017,9,18,0.0,22.2,11.0,20.2,16.6,Debre markos
261,2017,9,19,2.4,21.5,10.9,18.9,16.2,Debre markos
262,2017,9,20,1.6,20.6,11.6,15.4,16.1,Debre markos
263,2017,9,21,8.0,19.9,11.4,14.3,15.649999999999999,Debre markos
264,2017,9,22,31.8,19.3,11.5,12.6,15.4,Debre markos
265,2017,9,23,3.8,19.6,11.0,14.6,15.3,Debre markos
266,2017,9,24,1.4,20.3,10.1,18.3,15.2,Debre markos
267,2017,9,25,8.6,20.5,10.3,18.2,15.4,Debre markos
268,2017,9,26,0.3,21.4,10.3,19.9,15.85,Debre markos
269,2017,9,27,0.0,21.8,9.9,21.5,15.850000000000001,Debre markos
270,2017,9,28,1.1,20.6,10.2,18.6,15.4,Debre markos
271,2017,9,29,9.8,20.5,10.9,16.8,15.7,Debre markos
272,2017,9,30,44.7,20.3,11.4,15.4,15.850000000000001,Debre markos
273,2017,10,1,26.6,19.2,11.0,13.7,15.1,Debre markos
274,2017,10,2,12.8,20.7,10.8,17.7,15.75,Debre markos
275,2017,10,3,47.9,19.1,10.9,13.6,15.0,Debre markos
276,2017,10,4,5.6,20.3,10.7,16.9,15.5,Debre markos
277,2017,10,5,5.7,21.1,10.4,19.3,15.75,Debre markos
278,2017,10,6,10.6,20.2,10.5,17.0,15.35,Debre markos
279,2017,10,7,11.1,20.5,10.5,17.6,15.5,Debre markos
280,2017,10,8,3.2,20.9,10.7,18.2,15.799999999999999,Debre markos
281,2017,10,9,4.0,21.0,10.9,18.0,15.95,Debre markos
282,2017,10,10,0.4,21.1,11.0,18.0,16.05,Debre markos
283,2017,10,11,0.8,21.3,11.0,18.5,16.15,Debre markos
284,2017,10,12,1.5,22.0,11.1,19.7,16.55,Debre markos
285,2017,10,13,0.0,22.3,9.1,23.5,15.7,Debre markos
286,2017,10,14,0.0,21.9,8.0,24.5,14.95,Debre markos
287,2017,10,15,0.0,22.3,7.2,25.8,14.75,Debre markos
288,2017,10,16,0.0,22.2,7.7,25.2,14.95,Debre markos
289,2017,10,17,0.1,21.7,10.1,21.0,15.899999999999999,Debre markos
290,2017,10,18,7.2,21.1,10.1,19.6,15.600000000000001,Debre markos
291,2017,10,19,6.0,21.0,11.0,17.7,16.0,Debre markos
292,2017,10,20,0.0,22.1,8.0,24.7,15.05,Debre markos
293,2017,10,21,0.0,22.8,6.2,27.1,14.5,Debre markos
294,2017,10,22,0.0,23.1,7.0,26.7,15.05,Debre markos
295,2017,10,23,0.1,23.0,9.2,24.2,16.1,Debre markos
296,2017,10,24,0.3,22.8,10.7,21.9,16.75,Debre markos
297,2017,10,25,0.1,22.9,11.0,21.3,16.95,Debre markos
